sweep,scheme,N,range_pct,d,matched,abse_test_calls,bitmap_words,agg_entries,note,runs,mean_ms,median_ms,stdev_ms,ci95_ms,min_ms,max_ms,raw_ms,env_timestamp_utc,env_host,env_platform,env_python,env_aws_target,env_git_rev
vs_range,Latt-IBEKS,10000,10,1,44,,157,44,,20,44.75628610016429,44.30942099861568,1.5406384402159106,0.6752145670901162,42.75041399887414,49.60301100072684,"[49.603011, 46.968106, 45.662804, 44.588551, 43.736483, 43.497184, 43.128528, 42.750414, 43.561503, 44.115349, 45.282255, 45.29782, 45.905333, 45.342259, 45.155345, 44.503493, 44.051284, 44.008036, 43.8799, 44.088064]",2026-08-17T18:12:23+00:00,ip-172-31-12-27,Linux-6.17.0-1017-aws-x86_64-with-glibc2.39,3.12.3,ec2-<PUBLIC-IP>.<region>.compute.amazonaws.com,
vs_range,Latt-IBEKS,10000,20,1,77,,157,77,,20,48.85143009996682,48.77236650099803,0.5808101550392429,0.2545512737832281,47.828449998633005,50.353414997516666,"[48.534069, 49.025901, 48.836783, 48.55249, 48.475377, 50.353415, 49.898277, 49.264961, 49.023142, 49.075507, 48.998743, 48.682228, 48.541719, 48.374365, 48.132094, 47.82845, 48.765978, 48.454517, 48.778755, 49.431831]",2026-08-17T18:12:23+00:00,ip-172-31-12-27,Linux-6.17.0-1017-aws-x86_64-with-glibc2.39,3.12.3,ec2-<PUBLIC-IP>.<region>.compute.amazonaws.com,
vs_range,Latt-IBEKS,10000,30,1,123,,157,123,,20,54.879055899618834,54.769547499745386,0.5809655315090269,0.2546193705235421,54.122137000376824,56.24215200077742,"[54.968439, 54.406282, 54.445791, 54.779496, 55.483779, 56.242152, 55.864941, 55.65499, 55.037874, 54.80938, 54.759599, 54.358227, 54.122137, 55.38262, 54.919376, 54.67337, 54.270841, 54.23343, 54.724395, 54.443999]",2026-08-17T18:12:23+00:00,ip-172-31-12-27,Linux-6.17.0-1017-aws-x86_64-with-glibc2.39,3.12.3,ec2-<PUBLIC-IP>.<region>.compute.amazonaws.com,
vs_range,Latt-IBEKS,10000,50,1,212,,157,212,,20,58.56908039950213,58.433447000425076,0.87949584554539,0.3854560493273569,57.240819001890486,60.103628999058856,"[57.392526, 57.240819, 58.007272, 58.340406, 58.927709, 58.343287, 58.002536, 57.574917, 58.523607, 59.703902, 60.103629, 59.838603, 59.267063, 59.363611, 59.653577, 59.044982, 58.622957, 58.129861, 57.771097, 57.529247]",2026-08-17T18:12:23+00:00,ip-172-31-12-27,Linux-6.17.0-1017-aws-x86_64-with-glibc2.39,3.12.3,ec2-<PUBLIC-IP>.<region>.compute.amazonaws.com,
vs_range,Latt-IBEKS,10000,80,1,381,,157,381,,20,58.04554250007641,58.00932149941218,0.8958024128370206,0.39260271754433396,56.80268799915211,60.10273100037011,"[60.102731, 59.562495, 59.280236, 58.941291, 58.572333, 58.16639, 58.1928, 58.004602, 57.875664, 58.102501, 57.543361, 57.322854, 56.840699, 56.802688, 57.252781, 58.014041, 58.114488, 57.831231, 57.455968, 56.931696]",2026-08-17T18:12:23+00:00,ip-172-31-12-27,Linux-6.17.0-1017-aws-x86_64-with-glibc2.39,3.12.3,ec2-<PUBLIC-IP>.<region>.compute.amazonaws.com,
vs_N,BVCRSA,1000,30,1,6,4,16,6,,20,291.7442400001164,291.7488639977819,0.20871111523348124,0.09147167929908376,291.39915899941116,292.12065000319853,"[291.918538, 291.626695, 292.12065, 292.080013, 291.843099, 291.626891, 291.729208, 291.901612, 291.695576, 291.799838, 292.042267, 291.776976, 291.488729, 291.892759, 291.478546, 291.399159, 291.556804, 291.494297, 291.644623, 291.76852]",2026-08-17T18:12:23+00:00,ip-172-31-12-27,Linux-6.17.0-1017-aws-x86_64-with-glibc2.39,3.12.3,ec2-<PUBLIC-IP>.<region>.compute.amazonaws.com,
vs_N,Trinity,1000,30,1,11,,16,11,,20,9138.63893095022,9139.566536998245,6.855357800560252,3.0044930262186886,9123.180876002152,9148.246566997841,"[9129.605292, 9127.509513, 9123.180876, 9143.473411, 9134.498842, 9142.942545, 9143.140469, 9147.005954, 9136.921206, 9133.905037, 9148.246567, 9130.68399, 9140.365771, 9138.767303, 9143.968546, 9138.691686, 9142.966503, 9144.975859, 9138.037191, 9143.892058]",2026-08-17T18:12:23+00:00,ip-172-31-12-27,Linux-6.17.0-1017-aws-x86_64-with-glibc2.39,3.12.3,ec2-<PUBLIC-IP>.<region>.compute.amazonaws.com,
vs_N,VC-KASE,1000,30,1,43,,16,43,,20,1186.051868100185,1186.0109134995582,0.3805718827046916,0.1667929816103423,1185.1772490008443,1186.7803570021351,"[1186.731531, 1185.749777, 1186.016921, 1185.924933, 1186.06296, 1186.578228, 1185.996614, 1186.109734, 1186.004906, 1186.201971, 1185.730143, 1186.03632, 1185.858795, 1185.177249, 1186.54506, 1185.708868, 1186.780357, 1186.097987, 1185.890803, 1185.834205]",2026-08-17T18:12:23+00:00,ip-172-31-12-27,Linux-6.17.0-1017-aws-x86_64-with-glibc2.39,3.12.3,ec2-<PUBLIC-IP>.<region>.compute.amazonaws.com,
vs_N,ABSE-Range,1000,30,1,11,,16,11,,20,5662.711750349808,5662.74468750089,0.6596943224251673,0.28912378446541426,5661.158576000162,5663.5648510018655,"[5663.282812, 5662.238827, 5662.883207, 5663.564851, 5662.753442, 5663.481913, 5663.126386, 5662.598965, 5663.501018, 5661.781229, 5662.333365, 5663.527456, 5662.627441, 5662.995533, 5662.735933, 5661.158576, 5662.205416, 5662.334251, 5661.868629, 5663.235757]",2026-08-17T18:12:23+00:00,ip-172-31-12-27,Linux-6.17.0-1017-aws-x86_64-with-glibc2.39,3.12.3,ec2-<PUBLIC-IP>.<region>.compute.amazonaws.com,
vs_N,Latt-IBEKS,1000,30,1,11,,16,11,,20,4.268105249502696,4.26950549990579,0.029378680857479873,0.012875774587372974,4.228035999403801,4.345954999735113,"[4.345955, 4.274596, 4.24741, 4.279557, 4.228752, 4.232248, 4.283923, 4.297114, 4.269654, 4.228036, 4.286487, 4.2586, 4.231427, 4.261989, 4.242545, 4.281173, 4.277925, 4.305537, 4.269357, 4.25982]",2026-08-17T18:12:23+00:00,ip-172-31-12-27,Linux-6.17.0-1017-aws-x86_64-with-glibc2.39,3.12.3,ec2-<PUBLIC-IP>.<region>.compute.amazonaws.com,
