scheme,d,m_c,tokengen_calls,matched,runs,mean_ms,median_ms,stdev_ms,ci95_ms,min_ms,max_ms,raw_ms,env_timestamp_utc,env_host,env_platform,env_python,env_aws_target,env_git_rev
VC-KASE,1,4,4,,20,1.1577369499264023,1.1427359997924214,0.036152172518429046,0.015844388195959392,1.1204690003978612,1.230618000136019,"[1.125282, 1.230618, 1.141782, 1.129894, 1.157813, 1.133501, 1.120469, 1.139248, 1.226955, 1.128929, 1.145763, 1.214173, 1.160479, 1.132551, 1.132496, 1.18494, 1.14369, 1.122826, 1.206379, 1.176951]",2026-08-17T18:12:27+00:00,ip-172-31-15-107,Linux-6.17.0-1017-aws-x86_64-with-glibc2.39,3.12.3,ec2-<PUBLIC-IP>.<region>.compute.amazonaws.com,
VC-KASE,2,8,8,,20,1.4864687499994034,1.47775850018661,0.04068981554976141,0.01783309793799412,1.4307530000223778,1.5958609997142048,"[1.595861, 1.453176, 1.513042, 1.47552, 1.463667, 1.481249, 1.538577, 1.479997, 1.505887, 1.482886, 1.446427, 1.560517, 1.465757, 1.443228, 1.467528, 1.490757, 1.500805, 1.430753, 1.470182, 1.463559]",2026-08-17T18:12:27+00:00,ip-172-31-15-107,Linux-6.17.0-1017-aws-x86_64-with-glibc2.39,3.12.3,ec2-<PUBLIC-IP>.<region>.compute.amazonaws.com,
VC-KASE,3,12,12,,20,1.8252413500022158,1.8152625000311673,0.03847272367043343,0.016861414579704255,1.7724670001371123,1.8868309998651966,"[1.804051, 1.817469, 1.834071, 1.80402, 1.86582, 1.86458, 1.827786, 1.78783, 1.851417, 1.781041, 1.886831, 1.781712, 1.866963, 1.805422, 1.772467, 1.813056, 1.787782, 1.88356, 1.789109, 1.87984]",2026-08-17T18:12:27+00:00,ip-172-31-15-107,Linux-6.17.0-1017-aws-x86_64-with-glibc2.39,3.12.3,ec2-<PUBLIC-IP>.<region>.compute.amazonaws.com,
VC-KASE,4,16,16,,20,2.1642855499294456,2.157220999833953,0.052881870929145106,0.02317650180228793,2.0885080002699397,2.243352999812487,"[2.090596, 2.242611, 2.109226, 2.161606, 2.20031, 2.183687, 2.098896, 2.112798, 2.21952, 2.088508, 2.243353, 2.131717, 2.234713, 2.12648, 2.13488, 2.152836, 2.203575, 2.179911, 2.141817, 2.228671]",2026-08-17T18:12:27+00:00,ip-172-31-15-107,Linux-6.17.0-1017-aws-x86_64-with-glibc2.39,3.12.3,ec2-<PUBLIC-IP>.<region>.compute.amazonaws.com,
VC-KASE,5,20,20,,20,2.4948496999513736,2.5080919999709295,0.04776558957422932,0.02093419263357307,2.4232380001194542,2.57206700007373,"[2.572067, 2.432668, 2.524507, 2.438258, 2.520291, 2.523598, 2.448368, 2.478345, 2.499619, 2.431434, 2.516565, 2.472932, 2.548349, 2.526877, 2.439495, 2.555384, 2.54685, 2.423238, 2.531097, 2.467052]",2026-08-17T18:12:27+00:00,ip-172-31-15-107,Linux-6.17.0-1017-aws-x86_64-with-glibc2.39,3.12.3,ec2-<PUBLIC-IP>.<region>.compute.amazonaws.com,
ABSE-Range,1,4,4,,20,5.553265250068762,5.542937999962305,0.07699317149593062,0.033743745192567204,5.45403800015265,5.7027470002140035,"[5.457757, 5.517088, 5.551746, 5.48884, 5.600414, 5.552524, 5.54077, 5.617384, 5.614736, 5.702747, 5.461509, 5.494489, 5.682056, 5.470531, 5.61266, 5.454038, 5.545106, 5.509431, 5.67043, 5.521049]",2026-08-17T18:12:27+00:00,ip-172-31-15-107,Linux-6.17.0-1017-aws-x86_64-with-glibc2.39,3.12.3,ec2-<PUBLIC-IP>.<region>.compute.amazonaws.com,
ABSE-Range,2,8,8,,20,11.135997899964423,11.138347000041904,0.11023543742392435,0.048312810595426546,10.91383599987239,11.40138399978241,"[11.095295, 11.244077, 11.401384, 10.950172, 11.216249, 11.077648, 10.913836, 11.138708, 11.199822, 11.228736, 11.137986, 11.140529, 11.14823, 11.227632, 11.195129, 10.992843, 11.136344, 11.129436, 11.064276, 11.081626]",2026-08-17T18:12:27+00:00,ip-172-31-15-107,Linux-6.17.0-1017-aws-x86_64-with-glibc2.39,3.12.3,ec2-<PUBLIC-IP>.<region>.compute.amazonaws.com,
ABSE-Range,3,12,12,,20,16.681805750067724,16.65171000013288,0.08595045711855444,0.037669448703596606,16.540307000013854,16.830688000027294,"[16.60927, 16.620518, 16.610369, 16.650122, 16.540307, 16.594442, 16.789026, 16.681191, 16.641093, 16.752982, 16.830688, 16.812154, 16.653298, 16.788198, 16.639049, 16.616522, 16.583113, 16.720871, 16.728901, 16.774001]",2026-08-17T18:12:27+00:00,ip-172-31-15-107,Linux-6.17.0-1017-aws-x86_64-with-glibc2.39,3.12.3,ec2-<PUBLIC-IP>.<region>.compute.amazonaws.com,
ABSE-Range,4,16,16,,20,22.24129940000239,22.21971949984436,0.09803369271857237,0.04296516019679458,22.049641000194242,22.393272000044817,"[22.162399, 22.297577, 22.232576, 22.281666, 22.136881, 22.206863, 22.364433, 22.189947, 22.338207, 22.163032, 22.320716, 22.335862, 22.342405, 22.331936, 22.074893, 22.203935, 22.393272, 22.205538, 22.049641, 22.194209]",2026-08-17T18:12:27+00:00,ip-172-31-15-107,Linux-6.17.0-1017-aws-x86_64-with-glibc2.39,3.12.3,ec2-<PUBLIC-IP>.<region>.compute.amazonaws.com,
ABSE-Range,5,20,20,,20,27.919171849930535,27.908816999797637,0.18857620592160299,0.08264716621442171,27.637529999992694,28.511347999938152,"[27.969022, 28.010789, 27.887215, 28.511348, 28.005799, 27.990746, 27.930419, 27.776337, 27.996327, 28.108155, 27.651596, 28.045249, 27.951489, 27.87207, 27.63753, 27.843759, 27.749985, 27.828302, 27.784288, 27.833012]",2026-08-17T18:12:27+00:00,ip-172-31-15-107,Linux-6.17.0-1017-aws-x86_64-with-glibc2.39,3.12.3,ec2-<PUBLIC-IP>.<region>.compute.amazonaws.com,
Latt-IBEKS,1,4,4,,20,0.8134749500413818,0.7976995002536569,0.03744647706258581,0.016411642173046387,0.7825100001355167,0.8997200002340833,"[0.885855, 0.813393, 0.803007, 0.794412, 0.792366, 0.898484, 0.789707, 0.791828, 0.799251, 0.797966, 0.89972, 0.797433, 0.783368, 0.833811, 0.798088, 0.830083, 0.790859, 0.78251, 0.793753, 0.793605]",2026-08-17T18:12:27+00:00,ip-172-31-15-107,Linux-6.17.0-1017-aws-x86_64-with-glibc2.39,3.12.3,ec2-<PUBLIC-IP>.<region>.compute.amazonaws.com,
Latt-IBEKS,2,8,8,,20,1.638185149954552,1.6166584998700273,0.049129637824032506,0.021532013137358377,1.5785699997650227,1.723368000057235,"[1.706814, 1.610549, 1.667084, 1.62146, 1.592598, 1.695754, 1.599838, 1.709541, 1.598242, 1.596251, 1.684283, 1.592733, 1.723368, 1.588804, 1.612663, 1.666059, 1.57857, 1.69689, 1.601548, 1.620654]",2026-08-17T18:12:27+00:00,ip-172-31-15-107,Linux-6.17.0-1017-aws-x86_64-with-glibc2.39,3.12.3,ec2-<PUBLIC-IP>.<region>.compute.amazonaws.com,
Latt-IBEKS,3,12,12,,20,2.438090699956774,2.4626294998597587,0.05243324605461448,0.022979883281981764,2.3626090001016564,2.504300999589759,"[2.372928, 2.504301, 2.489657, 2.375673, 2.473146, 2.362609, 2.485109, 2.475964, 2.371651, 2.487416, 2.400714, 2.377451, 2.465417, 2.364677, 2.494445, 2.401945, 2.443331, 2.462956, 2.462303, 2.490121]",2026-08-17T18:12:27+00:00,ip-172-31-15-107,Linux-6.17.0-1017-aws-x86_64-with-glibc2.39,3.12.3,ec2-<PUBLIC-IP>.<region>.compute.amazonaws.com,
Latt-IBEKS,4,16,16,,20,3.2516390999489886,3.265514000077019,0.061841988363064745,0.027103446409338487,3.1393799999932526,3.4210519997941446,"[3.13938, 3.248267, 3.287541, 3.2804, 3.421052, 3.220319, 3.244127, 3.220367, 3.300052, 3.279034, 3.27868, 3.19546, 3.279162, 3.270233, 3.261363, 3.181637, 3.15701, 3.269665, 3.200271, 3.298762]",2026-08-17T18:12:27+00:00,ip-172-31-15-107,Linux-6.17.0-1017-aws-x86_64-with-glibc2.39,3.12.3,ec2-<PUBLIC-IP>.<region>.compute.amazonaws.com,
Latt-IBEKS,5,20,20,,20,4.04902869995567,4.046534500048438,0.041967946203726084,0.01839326339516681,3.9830099999562663,4.175541999757115,"[4.048784, 4.060901, 4.042325, 4.044285, 4.040091, 4.058275, 4.024715, 4.068866, 4.034863, 4.061624, 4.08001, 4.024565, 4.062726, 4.072679, 3.995667, 4.093524, 3.993907, 3.98301, 4.014215, 4.175542]",2026-08-17T18:12:27+00:00,ip-172-31-15-107,Linux-6.17.0-1017-aws-x86_64-with-glibc2.39,3.12.3,ec2-<PUBLIC-IP>.<region>.compute.amazonaws.com,
